4387-1066,GÖKHANDAN BÜYÜKADADA MERKEZE YAKIN MANZARALI PRESTİJLİ ARA KAT,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,2+1,110 m²,3.100 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/27644439
26825-598,ŞAHANE DENİZİ VE İSKELESİ OLAN FUL EŞYALI 3+1 YALI DAİRESİ,İstanbul,Adalar,Büyükada-Maden,17.12.2018,3+1,120 m²,25.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31116500
96953-59,"ANADOLU EMLAKTAN, DENİZ MANZARALI, GENİŞ BALKONLU, EŞYALI, DAİRE",İstanbul,Adalar,Büyükada-Maden,21.12.2018,2+1,85 m²,15.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31133899
82579-529,BÜYÜKADA EMLAK'TAN KEYİFLİ 3+1 BAHÇE KATI yaz-kış,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,3+1,85 m²,1.700 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32365858
4387-1203,BÜYÜKADADAGÖKHANDAN NİZAMDA DOĞA İÇİNDEMANZARALI4+1 DAİRE,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,3+1,140 m²,2.700 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32414977
4387-1120,BÜYÜKADADA GÖKHANDAN MÜSTAKİL ÖZELLİKLİ MANZARALI DUBLEKS,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,3+1,150 m²,4.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/30425099
1324-805,BÜYÜKADA GLOBE EMLAK'TAN 3+2 KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Maden,20.12.2018,3+2,150 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32481100
82579-494,GENİŞ BAHÇELİ 150 M2 DENİZ MANZARALI TERASLI DAİRE,İstanbul,Adalar,Büyükada-Maden,15.12.2018,4+1,180 m²,3.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32081867
26825-654,ÇANKAYADA ŞAHANE BAHÇELİ VE MANZARALI 1+1 BAHÇEKATI DAİRE,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,1+1,90 m²,1.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32370715
82579-471,BÜYÜKADA EMLAK'TAN 7+1 DENİZ HAVUZ DOĞA MANZARILI DUBLEKS,İstanbul,Adalar,Büyükada-Maden,08.12.2018,6+2,250 m²,4.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31589448
4387-1078,BÜYÜKADADA GÖKHANDAN NİZAMDA YAZLIK -KIŞLIK HAVUZLU BAHÇE KATI,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,3+1,115 m²,4.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/28284500
25051-668,Şaban Tanik Gayrimenkulden deniz manzaralı daire.,İstanbul,Adalar,Büyükada-Nizam,21.12.2018,2+1,90 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/31988550
82579-442,BÜYÜKADA EMLAK'TAN DENİZ VE HAVUZ MANZARALI 3+1 DAİRE yaz-kış,İstanbul,Adalar,Büyükada-Maden,08.12.2018,3+1,140 m²,3.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/29714691
5187-1581,"DRAMALI'DAN HEYBELİADA'DA ÖZEL GİRİŞLİ, KOMBİLİ 2+1 DAİRE",İstanbul,Adalar,Heybeliada,21.12.2018,2+1,90 m²,1.200 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-heybeliada-emlakcidan-daire/detay/32011994
4387-1112,BÜYÜKADADA GÖKHANDAN YILLIK EŞYALI MERKEZDE KAT,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,3+1,95 m²,2.400 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/30275789
3272-43020,HEYBELİ ADA AYLIK KİRALIK SIFIRLANMIŞ BAHÇE KATI,İstanbul,Adalar,Heybeliada,21.12.2018,2+1,80 m²,4.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-heybeliada-emlakcidan-daire/detay/29279358
10098-259,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Nizam,19.12.2018,4+1,180 m²,60.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/29448884
10098-272,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK YALI DAİRESİ,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,110 m²,4.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31000085
4387-1083,BÜYÜKADA DA GÖKHANDAN AND.KLÜBÜ YANINDA1+1 Y.GİRİŞ DAİRE,İstanbul,Adalar,Büyükada-Nizam,16.12.2018,1+1,75 m²,1.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/28807459
4387-535,GÖKHAN'dan BÜYÜKADA'da KUMSALDA YILLIK 3+1 KAT,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,160 m²,2.700 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/11343662
26825-642,KUMSAL'DA DÜZ AYAK MANZARALI 2+1 YAZ-KIŞ KİRALIK ÜSTKATDAİRE,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,70 m²,1.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32178968
4387-1190,BÜYÜKADA NİZAMDA GÖKHANDAN MANZARALI DUBLEKS DAİRE,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,3+1,150 m²,3.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32029782
96953-80,"ANADOLU EMLAKTAN, HEYBELİADA DA, EŞYALI , KİRALIK DAİRE.",İstanbul,Adalar,Heybeliada,16.12.2018,1+1,55 m²,1.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-heybeliada-emlakcidan-daire/detay/31991389
10098-265,BÜYÜKADA TİVOLİS EMLAKTAN KİRALIK HAVUZLU BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,90 m²,1.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30269429
10098-241,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Nizam,19.12.2018,3+1,120 m²,2.200 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/27275454
54895-609,PLANET'TN YENİ BİNA BÜYÜK BAHÇELİ DENİZ MANZRLI BAHÇEKATI YALI D,İstanbul,Adalar,Büyükada-Maden,10.12.2018,3+1,150 m²,3.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31987003
67104-999,BÜYÜKADA'DA KAÇIRILMAYACAK FIRSAT!,İstanbul,Adalar,Büyükada-Maden,17.12.2018,5+1,250 m²,4.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31740002
4387-1025,BÜYÜKADADA GÖKHANDAN BAHÇELİ 3+1 YAZLIK EV,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,85 m²,11.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/25377795
26825-653,ŞAHANE ORMAN VE DENİZ MANZARALI ÇOK TEMİZ 4+1 DUBLEKS DAİRE,İstanbul,Adalar,Büyükada-Maden,28.11.2018,4+1,200 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32340943
10098-275,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK HAVUZLU DAİRE,İstanbul,Adalar,Büyükada-Maden,19.12.2018,3+1,140 m²,3.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31747159
10098-233,TİVOLİS EMLAKTAN KİRALIK,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,75 m²,1.950 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/26791322
4387-1201,BÜYÜKADA DA KUMSALDA GÖKHANDAN YILLIK KOMBİLİ BALKONLU DAİRE,İstanbul,Adalar,Büyükada-Maden,14.12.2018,2+1,85 m²,1.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32374785
26825-632,MERKEZE 10 DAKİKA MESAFEDE 2+1 YAZ-KIŞ SIFIR DAİRE,İstanbul,Adalar,Büyükada-Maden,17.12.2018,2+1,90 m²,1.850 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31871752
10098-270,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK YAZLIK DAİRE,İstanbul,Adalar,Büyükada-Maden,19.12.2018,4+1,160 m²,32.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30580170
26825-602,MADENDE HAVUZLU VE BAHÇELİ DENİZ MANZARALI YAZKIŞ 3+1 BAHÇEKATI,İstanbul,Adalar,Büyükada-Maden,17.12.2018,3+1,140 m²,2.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31224019
4387-1200,BÜYÜKADADA GÖKHANDAN 1+1 FERAH YENİ BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,14.12.2018,1+1,75 m²,1.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32355711
96953-84,ANADOLU EMLAK DA SEZONLUK KİRALIK DAİRE YAZ KIŞ FUL EŞYAlLI DAIR,İstanbul,Adalar,Kınalıada,20.12.2018,2+1,75 m²,1.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-kinaliada-emlakcidan-bina/detay/32053066
39631-431,DERİŞ'DEN MERKEZE YAKIN MASRAFSIZ DAİRE,İstanbul,Adalar,Büyükada-Maden,10.12.2018,3+1,100 m²,2.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/18581228
39778-2692,Kınalıada Da Sezonluk Teras,İstanbul,Adalar,Kınalıada,18.12.2018,1+1,60 m²,7.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-kinaliada-emlakcidan-daire/detay/32096406
4387-1029,BÜYÜKADADA GÖKHANDAN BAHÇELİ MANZARALI KÖŞK DAİRESİ,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,110 m²,20.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/25633654
96953-39,BÜYÜKADA DA İSKELEYE ON DAKİKA MESAFEDE KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,70 m²,1.400 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30564332
4387-1115,"BÜYÜKADADA GÖKHANDAN YILLIKKOMBİLİ,BAHÇEL MANZ.LI KÖŞK DAİRESİ",İstanbul,Adalar,Büyükada-Maden,14.12.2018,2+1,85 m²,2.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30392711
26825-625,KUMSAL'DA DÜZ AYAK 2+1 YAZ-KIŞ ORTA KAT DAİRE,İstanbul,Adalar,Büyükada-Maden,17.12.2018,2+1,70 m²,1.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31788012
4387-1074,BÜYÜKADADA GÖKHANDAN 3+1 BAHÇE KATI DAİRE,İstanbul,Adalar,Büyükada-Nizam,20.12.2018,3+1,100 m²,1.750 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/28099477
96953-70,"ANADOLU EMLAKTAN, BÜYÜKADA DA, DENİZE VE İSKELEYE YAKIN 140 M2",İstanbul,Adalar,Büyükada-Maden,19.12.2018,3+1,140 m²,3.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31931755
96953-58,Büyükadada 10000 TL YE YAZLIK Daire,İstanbul,Adalar,Büyükada-Maden,21.12.2018,2+1,65 m²,12.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31077691
4387-1199,MÜSTAKİL ÖZELLİKLİ BAHÇELİ MANZARALI KAT,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,135 m²,7.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32331935
26825-658,MERKEZE YAKIN FUL EŞYALI DOĞALGAZLI YAZKIŞLIK 2+1 ÜSTKAT DAİRE,İstanbul,Adalar,Büyükada-Maden,08.12.2018,2+1,70 m²,1.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32404808
82579-530,BÜYÜKADA EMLAK'TAN 750 M2 ARSA İÇİNDE MÜSTAKİL EV,İstanbul,Adalar,Büyükada-Maden,04.12.2018,3+1,100 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32365934
10098-271,BÜYÜK ADA TİVOLİS EMLAKDAN KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Nizam,19.12.2018,3+1,100 m²,12.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/30916242
82579-484,BÜYÜKADA EMLAK'TAN 4+1 SÜPER DENİZ MANZARALI DUBLEKS,İstanbul,Adalar,Büyükada-Maden,08.12.2018,4+1,160 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31987078
10098-263,BÜYÜKADA TİVOLİS EMLAKTAN KİRALIK BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,19.12.2018,2+1,90 m²,2.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30187521
1324-765,BÜYÜKADA GLOBE EMLAK 'TAN DENİZ MANZARALI 4+1 150M2 DUBLEX DAİRE,İstanbul,Adalar,Büyükada-Maden,12.12.2018,4+1,150 m²,30.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31264862
1324-764,BÜYÜKADA GLOBE EMLAK'TAN 3+1 KİRALIK BAHÇEKATIDAİR,İstanbul,Adalar,Büyükada-Maden,15.12.2018,3+1,120 m²,2.400 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31192795
id,aciklama,sehir,semt,mahalle,ilan tarihi,oda sayisi,alan,kira,url
58678-961,BÜYÜKADA'DA YEŞİLLİKLER İÇERİSİNDE DENİZ MANZARALI DUBLEKS DAİRE,İstanbul,Adalar,Büyükada-Nizam,16.12.2018,3+1,193 m²,2.750 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32269258
4387-1189,BÜYÜKADADAGÖKHANDAN DOĞAİÇİNDEMANZARALI FERAH ARA KAT,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,140 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31983963
54895-620,PLANET'TEN MERKEZDE İŞ YERİ OLMAYA UYGUN 2 DAİRELİ KOMPLE BİNA,İstanbul,Adalar,Büyükada-Maden,05.12.2018,6+2,200 m²,7.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32385189
4387-1198,GÖKHANDAN BÜYÜKADADA MERKEZE&DENİZE 5dk.BAHÇEKATI,İstanbul,Adalar,Büyükada-Maden,14.12.2018,4+1,120 m²,2.650 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32321716
4387-1197,GÖKHANDAN BÜYÜKADADA MANZARALI ÇATI KATI,İstanbul,Adalar,Büyükada-Nizam,18.12.2018,2+1,95 m²,1.950 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32270504
82579-527,BÜYÜKADA EMLAK'TAN 2+1 KÖŞK DAİRESİ,İstanbul,Adalar,Büyükada-Maden,03.12.2018,2+1,100 m²,1.750 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32332223
1324-801,BÜYÜKADA GLOBE EMLAK'TAN KUMSAL'DA 2+1 KİRALIK DAİRE,İstanbul,Adalar,Büyükada-Maden,24.11.2018,2+1,75 m²,1.800 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32317950
4387-1144,BÜYÜKADA' DA GÖKHANDAN YILLIK YALI FIRSATI ...,İstanbul,Adalar,Büyükada-Nizam,18.12.2018,3+1,160 m²,72.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/31137491
4387-1038,BÜYÜKADADA GÖKHANDAN YILLIK MERKEZE 3 DK. 2+1 TERAS DAİRE,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,3+1,110 m²,2.200 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/25863762
54895-619,PLANET'TEN 5 DKKA MESAFEDE HAVUZLU DENİZ MANZARALI DUBLEKS,İstanbul,Adalar,Büyükada-Maden,25.11.2018,3+1,130 m²,2.500 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/32322151
0-32344517,Büyükada Deniz&Yeşil Manzaralı Bahçe Katı Kiralık (Cankaya Cd.),İstanbul,Adalar,Büyükada-Nizam,28.11.2018,1+1,90 m²,1.900 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-sahibinden/detay/32344517
1324-626,BÜYÜKADA GLOBE EMLAK'TAN YILLIK KİRALIK BAHÇE KATI DAİRE,İstanbul,Adalar,Büyükada-Maden,17.12.2018,2+1,75 m²,1.650 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/27026069
82579-461,BÜYÜKADA EMLAK'TAN YAZLIK 3+1 SEDEF ADASI MANZARALI YALI DAİRESİ,İstanbul,Adalar,Büyükada-Maden,16.12.2018,3+1,110 m²,29.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/30795646
0-31986627,"Yaz - Kış Kiralık, Eşyalı, Yeni Daire",İstanbul,Adalar,Büyükada-Nizam,15.12.2018,3+1,100 m²,3.250 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-sahibinden/detay/31986627
82579-525,DOĞANIN İÇİNDEKİ HUZUR,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,2+1,100 m²,2.200 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32332196
7553-10560,BÜYÜKADADA ÇARŞIDA KELEPİR 85 M2 2+1 KOMBİLİ DAİRE,İstanbul,Adalar,Büyükada-Maden,20.12.2018,2+1,85 m²,1.650 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31963118
4387-1103,BÜYÜKADADA DENİZE 5 DK.MÜSTAKİL ÖZELLİKLİ YÜKSEK BAHÇE KATI,İstanbul,Adalar,Büyükada-Maden,14.12.2018,3+1,110 m²,2.600 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/29539627
4387-1066,GÖKHANDAN BÜYÜKADADA MERKEZE YAKIN MANZARALI PRESTİJLİ ARA KAT,İstanbul,Adalar,Büyükada-Nizam,14.12.2018,2+1,110 m²,3.100 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/27644439
26825-598,ŞAHANE DENİZİ VE İSKELESİ OLAN FUL EŞYALI 3+1 YALI DAİRESİ,İstanbul,Adalar,Büyükada-Maden,17.12.2018,3+1,120 m²,25.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31116500
96953-59,"ANADOLU EMLAKTAN, DENİZ MANZARALI, GENİŞ BALKONLU, EŞYALI, DAİRE",İstanbul,Adalar,Büyükada-Maden,21.12.2018,2+1,85 m²,15.000 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-maden-emlakcidan/detay/31133899
82579-529,BÜYÜKADA EMLAK'TAN KEYİFLİ 3+1 BAHÇE KATI yaz-kış,İstanbul,Adalar,Büyükada-Nizam,03.12.2018,3+1,85 m²,1.700 TL,https://www.hurriyetemlak.com/konut-kiralik/istanbul-adalar-buyukada-nizam-emlakcidan/detay/32365858
